track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined
tulum,"peso pluma, grupo frontera",2,2023,6,28,266,34,52294266,20,185,13,8,197,168,F#,Major,56,63,87,39,0,11,5,"tulum peso pluma, grupo frontera"
creepin',"the weeknd, 21 savage, metro boomin",3,2022,12,2,6036,88,843957510,113,149,245,23,27,98,C#,Minor,71,17,61,36,0,8,5,"creepin' the weeknd, 21 savage, metro boomin"
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift
tqg,"karol g, shakira",2,2023,2,23,4284,49,618990393,115,123,184,18,354,180,E,Minor,72,61,63,67,0,9,28,"tqg karol g, shakira"
los del espacio,"big one, duki, lit killah, maria becerra, fmk, rusherking, emilia, tiago pzk",8,2023,6,1,1150,31,123122413,22,33,34,7,184,120,,Major,81,63,68,11,0,11,4,"los del espacio big one, duki, lit killah, maria becerra, fmk, rusherking, emilia, tiago pzk"
frï¿½ï¿½gil (feat. grupo front,"yahritza y su esencia, grupo frontera",2,2023,4,7,672,34,188933502,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3,"frï¿½ï¿½gil (feat. grupo front yahritza y su esencia, grupo frontera"
blank space,taylor swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,blank space taylor swift
style,taylor swift,1,2014,1,1,7830,42,786181836,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,style taylor swift
tqm,fuerza regida,1,2023,5,19,584,28,176553476,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,tqm fuerza regida
el azul,"junior h, peso pluma",2,2023,2,10,692,25,354495408,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6,"el azul junior h, peso pluma"
sunflower - spider-man: into the spider-verse,"post malone, swae lee",2,2018,10,9,24094,78,2808096550,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,"sunflower - spider-man: into the spider-verse post malone, swae lee"
i'm good (blue),"bebe rexha, david guetta",2,2022,8,26,12482,80,1109433169,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4,"i'm good (blue) bebe rexha, david guetta"
