track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined,peak_position,weeks_on_chart
love nwantiti (ah ah ah),ckay,1,2019,7,26,5669,2,726837877.0,74,0,262,14,,93,F,Minor,74,53,73,61,0,13,4,love nwantiti (ah ah ah) ckay,26,100
surface pressure,jessica darrow,1,2021,11,19,1756,0,267758538.0,38,48,20,0,0,180,D,Major,65,37,58,2,0,4,31,surface pressure jessica darrow,8,45
thats what i want,lil nas x,1,2021,9,17,7963,0,920797189.0,173,7,298,0,4,88,C#,Minor,74,55,85,1,0,5,22,thats what i want lil nas x,8,253
money,lisa,1,2021,9,10,2566,13,863625566.0,44,109,131,0,,140,C#,Minor,83,40,55,16,0,14,23,money lisa,90,1
happier than ever,billie eilish,1,2021,7,30,8476,0,1056760045.0,138,133,283,0,,65,,Major,31,31,24,76,0,14,4,happier than ever billie eilish,11,89
drivers license,olivia rodrigo,1,2021,1,8,12685,3,1858144199.0,185,61,485,0,,144,A#,Major,59,21,43,76,0,10,7,drivers license olivia rodrigo,1,80
oh my god,adele,1,2021,11,19,4431,0,466214729.0,105,7,199,0,0,88,C#,Major,53,55,73,9,0,3,5,oh my god adele,5,30
i am woman,emmy meli,1,2021,11,18,2795,0,225259194.0,45,0,107,0,0,170,A#,Major,65,46,47,12,0,13,16,i am woman emmy meli,74,4
super gremlin,kodak black,1,2021,10,30,2551,0,342779426.0,52,15,35,0,1,73,D,Major,83,11,41,0,0,36,14,super gremlin kodak black,3,225
todo de ti,rauw alejandro,1,2020,11,2,11975,8,1168642797.0,188,75,268,6,16,128,D#,Minor,81,57,63,40,1,10,4,todo de ti rauw alejandro,32,43
life goes on,oliver tree,1,2020,7,17,2868,0,501541661.0,43,15,116,0,,80,,Major,70,57,49,19,0,12,8,life goes on oliver tree,81,5
butter,bts,1,2021,5,21,4779,6,1143647827.0,180,135,223,0,5,110,G#,Major,79,70,36,0,0,6,11,butter bts,1,48
deja vu,olivia rodrigo,1,2021,4,1,7545,4,1256880657.0,117,39,141,0,46,181,A,Major,44,22,60,61,0,42,9,deja vu olivia rodrigo,3,86
dynamite,bts,1,2020,8,21,8528,5,1692897992.0,239,163,583,0,,114,F#,Minor,75,74,77,1,0,9,10,dynamite bts,1,129
dos oruguitas,sebastian yatra,1,2021,11,19,925,0,167076418.0,24,47,74,0,0,94,,Major,42,47,36,76,0,9,5,dos oruguitas sebastian yatra,36,24
happier,olivia rodrigo,1,2021,5,21,3069,4,850608354.0,25,46,105,0,45,169,F#,Major,39,36,45,81,0,8,13,happier olivia rodrigo,15,16
praise god,kanye west,1,2021,8,29,4651,0,376333030.0,24,6,105,0,0,118,C#,Major,80,21,55,1,0,26,17,praise god kanye west,20,5
get into it (yuh),doja cat,1,2021,6,25,4999,0,516784627.0,43,19,73,12,0,92,G#,Minor,91,79,66,32,0,9,16,get into it (yuh) doja cat,20,148
before you go,lewis capaldi,1,2019,11,1,8327,24,1608045237.0,205,130,625,0,25,112,D#,Major,45,19,60,63,0,9,6,before you go lewis capaldi,9,283
rolling in the deep,adele,1,2010,11,29,35684,6,1472799873.0,195,125,"6,280",2,78,105,G#,Major,73,52,76,13,0,5,3,rolling in the deep adele,1,497
favorite crime,olivia rodrigo,1,2021,5,21,3681,0,783706581.0,20,21,99,0,7,173,A,Major,40,19,29,86,0,34,4,favorite crime olivia rodrigo,16,16
positions,ariana grande,1,2020,10,23,8207,0,1252563873.0,175,55,95,0,2,144,,Major,73,66,80,44,0,9,12,positions ariana grande,1,95
heartbreak anniversary,giveon,1,2020,2,21,5398,4,951637566.0,111,127,210,0,37,129,,Major,61,59,46,56,0,13,5,heartbreak anniversary giveon,16,104
2055,sleepy hallow,1,2021,4,14,2226,0,624515457.0,29,0,44,0,0,161,F#,Minor,78,65,52,46,0,12,31,2055 sleepy hallow,51,33
astronaut in the ocean,masked wolf,1,2019,1,1,7191,0,1138474110.0,146,18,478,0,7,150,E,Minor,78,47,70,18,0,15,9,astronaut in the ocean masked wolf,6,104
dance monkey,tones and i,1,2019,5,10,24529,0,2864791672.0,533,167,"3,595",6,,98,F#,Minor,82,54,59,69,0,18,10,dance monkey tones and i,4,148
lucid dreams,juice wrld,1,2017,6,15,14749,0,2288695111.0,188,34,710,0,5,84,B,Minor,44,22,48,38,0,33,24,lucid dreams juice wrld,2,264
all of me,john legend,1,2013,8,1,27221,0,2086124197.0,308,118,"4,534",2,77,120,G#,Major,42,33,26,92,0,13,3,all of me john legend,1,427
arcade,duncan laurence,1,2019,3,7,6646,0,991336132.0,107,47,584,1,,72,A,Minor,45,27,33,82,0,14,4,arcade duncan laurence,30,80
mr. brightside,the killers,1,2003,9,23,51979,15,1806617704.0,306,99,"5,063",2,120,148,C#,Major,35,24,93,0,0,10,8,mr. brightside the killers,10,153
streets,doja cat,1,2019,11,7,5728,0,865640097.0,85,87,179,0,12,90,B,Major,75,19,46,21,4,34,8,streets doja cat,16,56
permission to dance,bts,1,2021,7,9,1801,2,608334048.0,77,134,74,0,2,125,A,Major,70,65,74,1,0,34,4,permission to dance bts,1,10
rapstar,polo g,1,2021,4,9,4731,0,797402345.0,141,12,78,0,0,81,F#,Major,79,44,54,41,0,13,24,rapstar polo g,1,56
memories,maroon 5,1,2019,9,20,9974,2,1759567999.0,272,67,"1,066",1,19,91,B,Major,77,60,32,84,0,8,5,memories maroon 5,2,205
boyfriend,dove cameron,1,2022,2,11,3766,0,496311364.0,76,0,102,0,2,180,G,Minor,35,23,61,23,0,19,6,boyfriend dove cameron,16,77
light switch,charlie puth,1,2022,1,19,4049,0,500340342.0,119,6,85,1,1,184,F#,Major,69,91,63,11,0,9,31,light switch charlie puth,27,29
in da club,50 cent,1,2002,1,1,30427,7,1202722675.0,235,106,"5,221",1,35,90,F#,Minor,90,79,71,26,0,7,37,in da club 50 cent,1,120
she's all i wanna be,tate mcrae,1,2022,2,4,2711,0,343197054.0,105,12,51,0,12,160,D,Minor,61,65,64,1,0,12,4,she's all i wanna be tate mcrae,44,58
cigarettes,juice wrld,1,2021,12,10,975,0,185408548.0,11,0,10,0,0,160,D,Major,60,47,62,3,0,38,4,cigarettes juice wrld,43,3
humble.,kendrick lamar,1,2017,3,30,33206,1,1929770265.0,284,114,"1,481",0,5,150,C#,Minor,91,42,60,0,0,9,12,humble. kendrick lamar,1,144
numb little bug,em beihold,1,2022,1,28,2026,0,258714692.0,47,3,42,12,6,85,G#,Minor,74,61,52,30,0,26,9,numb little bug em beihold,18,119
worst day,future,1,2022,2,11,910,0,50746620.0,20,3,24,0,0,89,C#,Major,65,60,60,11,0,10,40,worst day future,34,2
hrs and hrs,muni long,1,2021,11,19,1800,0,181328253.0,43,36,46,13,4,140,G#,Minor,51,66,53,60,0,11,18,hrs and hrs muni long,16,45
thinking out loud,ed sheeran,1,2014,1,1,33032,0,2280566092.0,363,129,"3,895",0,28,79,D,Major,78,58,45,47,0,18,3,thinking out loud ed sheeran,2,370
new magic wand,"tyler, the creator",2,2019,5,16,4708,0,461437791.0,13,7,55,0,1,140,F,Minor,62,46,73,10,0,67,11,"new magic wand tyler, the creator",70,1
adore you,harry styles,1,2019,12,6,13454,1,1439191367.0,246,71,519,2,5,99,G#,Major,68,57,77,2,0,10,5,adore you harry styles,6,272
envolver,anitta,1,2021,11,11,4673,2,546191065.0,123,113,180,1,4,92,E,Minor,81,40,73,15,0,9,8,envolver anitta,70,5
nail tech,jack harlow,1,2022,2,18,2939,0,193443895.0,42,0,24,0,0,150,E,Minor,65,11,58,0,0,12,9,nail tech jack harlow,18,16
hope,xxxtentacion,1,2018,3,16,3659,0,1200808494.0,11,10,267,0,7,146,A,Minor,59,23,46,66,0,15,6,hope xxxtentacion,70,2
levitating,dua lipa,1,2020,3,27,9833,0,797196073.0,233,82,531,1,1,103,F#,Minor,69,90,88,5,0,29,8,levitating dua lipa,2,726
"jealousy, jealousy",olivia rodrigo,1,2021,5,21,3257,0,665765558.0,10,0,70,0,0,164,A#,Minor,70,71,58,24,0,7,13,"jealousy, jealousy olivia rodrigo",24,6
first class,jack harlow,1,2022,4,8,8737,0,694525298.0,163,32,137,15,12,107,G#,Major,91,32,56,3,0,11,10,first class jack harlow,1,81
when you're gone,shawn mendes,1,2022,3,31,2092,0,255120451.0,75,11,44,0,14,147,F,Major,60,58,69,2,0,58,4,when you're gone shawn mendes,38,24
in my head,lil tjay,1,2022,4,1,1185,0,190981339.0,21,0,31,0,0,143,C#,Major,68,41,55,16,0,10,12,in my head lil tjay,33,4
cool for the summer,demi lovato,1,2015,1,1,9243,0,677389855.0,155,5,577,0,6,114,F,Minor,59,30,62,1,0,8,4,cool for the summer demi lovato,11,40
right on,lil baby,1,2022,4,8,1116,0,101780047.0,31,9,15,0,1,166,D,Major,70,22,61,2,0,10,34,right on lil baby,13,36
soy el unico,yahritza y su esencia,1,2022,3,25,226,0,126443991.0,5,0,4,0,1,84,E,Minor,71,63,45,45,0,11,3,soy el unico yahritza y su esencia,20,5
there's nothing holdin' me back,shawn mendes,1,2016,9,23,12382,0,1714490998.0,229,57,"1,370",2,71,122,D,Major,86,97,80,36,0,9,6,there's nothing holdin' me back shawn mendes,6,120
golden,harry styles,1,2019,12,13,8429,1,807015863.0,85,24,200,0,2,140,E,Minor,45,25,84,21,0,13,6,golden harry styles,57,49
ain't shit,doja cat,1,2021,6,25,3436,0,499710590.0,32,6,46,0,1,124,D#,Major,86,62,49,51,0,35,21,ain't shit doja cat,24,28
photograph,ed sheeran,1,2014,6,20,18778,3,2236667932.0,228,105,"2,453",0,84,108,E,Major,61,20,38,61,0,10,5,photograph ed sheeran,10,104
love yourself,justin bieber,1,2015,11,9,22730,5,2123309722.0,289,87,"2,430",0,36,100,E,Major,61,53,38,84,0,28,44,love yourself justin bieber,1,205
n95,kendrick lamar,1,2022,5,13,5542,0,301242089.0,52,16,65,0,206,140,D#,Minor,81,39,66,38,0,12,14,n95 kendrick lamar,3,8
un ratito,bad bunny,1,2022,5,6,1112,6,417230415.0,7,30,13,1,1,93,,Minor,79,22,55,31,0,12,5,un ratito bad bunny,16,38
united in grief,kendrick lamar,1,2022,5,13,2575,0,156898322.0,4,5,12,0,51,87,G#,Major,52,32,83,24,0,17,43,united in grief kendrick lamar,8,2
yo no soy celoso,bad bunny,1,2022,5,6,1179,0,313113297.0,7,21,11,0,0,142,,Major,87,93,59,28,0,17,5,yo no soy celoso bad bunny,22,3
rich spirit,kendrick lamar,1,2022,5,13,3486,0,173702135.0,20,10,33,0,0,96,A#,Minor,85,41,43,39,0,12,21,rich spirit kendrick lamar,13,2
count me out,kendrick lamar,1,2022,5,13,2729,0,126191104.0,3,7,13,0,1,134,G,Major,78,51,43,69,0,14,9,count me out kendrick lamar,20,2
dos mil 16,bad bunny,1,2022,5,6,892,3,338422004.0,10,24,11,0,0,130,C#,Major,82,50,67,12,0,13,5,dos mil 16 bad bunny,45,3
un coco,bad bunny,1,2022,5,6,1029,28,403231558.0,5,28,9,0,0,152,B,Major,84,74,69,21,0,18,6,un coco bad bunny,56,3
aguacero,bad bunny,1,2022,5,6,829,0,283359161.0,4,15,10,0,0,121,F#,Minor,86,67,65,42,0,35,7,aguacero bad bunny,44,3
dua lipa,jack harlow,1,2022,5,6,1992,0,150500965.0,35,0,3,0,0,158,B,Major,83,41,65,0,10,11,8,dua lipa jack harlow,21,3
thousand miles,the kid laroi,1,2022,4,22,2050,0,244741137.0,52,9,46,0,1,81,G,Major,38,20,66,9,0,9,8,thousand miles the kid laroi,15,29
puffin on zootiez,future,1,2022,4,29,2350,0,254218729.0,28,42,23,0,0,125,G#,Major,88,28,66,6,0,13,31,puffin on zootiez future,4,42
flowers,lauren spencer smith,1,2021,8,9,801,0,184826429.0,42,9,24,1,1,138,D#,Major,70,31,44,84,0,9,39,flowers lauren spencer smith,55,2
yet to come,bts,1,2022,6,10,829,0,302006641.0,32,110,26,0,0,172,C#,Major,56,68,89,4,0,33,19,yet to come bts,13,2
music for a sushi restaurant,harry styles,1,2022,5,20,4449,1,334733572.0,80,11,66,0,1,107,B,Major,72,36,72,26,6,11,4,music for a sushi restaurant harry styles,8,38
matilda,harry styles,1,2022,5,20,3218,3,366214458.0,29,10,79,0,0,114,D,Major,51,39,29,90,0,10,4,matilda harry styles,9,1
daylight,harry styles,1,2022,5,20,2775,0,290833204.0,21,11,40,0,0,146,,Major,69,63,45,48,0,18,4,daylight harry styles,13,1
little freak,harry styles,1,2022,5,20,2302,0,273194684.0,20,3,39,0,0,142,D#,Major,56,40,54,72,0,10,4,little freak harry styles,14,1
satellite,harry styles,1,2022,5,20,3291,5,311482393.0,43,28,79,0,208,139,,Major,58,30,46,14,0,9,3,satellite harry styles,21,1
love of my life,harry styles,1,2022,5,20,1933,0,233671263.0,13,2,31,0,0,118,G,Major,56,20,54,67,0,6,5,love of my life harry styles,29,1
grapejuice,harry styles,1,2022,5,20,1986,0,199587884.0,7,1,15,0,0,183,F,Major,65,88,72,36,14,20,3,grapejuice harry styles,15,1
so good,halsey,1,2022,6,9,1057,0,91781263.0,51,14,19,0,0,83,D#,Minor,63,29,62,4,0,18,4,so good halsey,51,35
keep driving,harry styles,1,2022,5,20,2094,1,236060709.0,8,1,18,0,0,165,A,Major,72,90,48,32,0,18,23,keep driving harry styles,25,1
cinema,harry styles,1,2022,5,20,2171,0,189236868.0,18,1,28,0,0,106,A,Minor,83,90,64,35,5,9,4,cinema harry styles,22,1
hold my hand,lady gaga,1,2022,5,3,2528,0,238350348.0,63,8,270,2,105,148,G,Major,51,21,63,5,0,41,3,hold my hand lady gaga,49,10
daydreaming,harry styles,1,2022,5,20,1900,1,187703102.0,15,1,23,0,0,114,E,Minor,71,90,81,31,2,13,3,daydreaming harry styles,24,1
me and your mama,childish gambino,1,2016,11,10,8775,0,445590495.0,33,60,107,1,0,118,F,Major,56,25,45,1,3,7,3,me and your mama childish gambino,69,1
slow dancing in the dark,joji,1,2018,9,12,10211,0,1122364376.0,38,79,65,0,1,89,D#,Major,52,28,48,54,1,19,3,slow dancing in the dark joji,69,20
boyfriends,harry styles,1,2022,5,20,1517,0,137070925.0,26,2,30,0,0,118,,Major,42,32,20,94,0,11,4,boyfriends harry styles,30,1
massive,drake,1,2022,6,17,5263,0,195628667.0,66,89,61,0,11,125,E,Minor,51,5,68,12,2,15,6,massive drake,14,7
betty (get money),yung gravy,1,2022,6,10,2402,0,221752937.0,45,2,26,0,1,102,C#,Major,73,62,75,0,0,34,8,betty (get money) yung gravy,30,37
last last,burna boy,1,2022,5,12,4526,12,293466523.0,156,275,150,3,128,88,D#,Minor,80,55,56,13,0,8,9,last last burna boy,44,37
sticky,drake,1,2022,6,17,2814,0,191448892.0,38,105,25,0,2,137,A#,Minor,88,8,49,9,0,9,14,sticky drake,6,17
heartless,kanye west,1,2008,1,1,17504,34,887906111.0,63,39,"1,315",0,2,88,A#,Minor,79,66,65,5,0,25,14,heartless kanye west,2,111
forget me,lewis capaldi,1,2022,9,9,2520,4,239411309.0,93,95,84,9,202,102,C#,Minor,67,72,74,30,0,36,4,forget me lewis capaldi,58,22
bound 2,kanye west,1,2013,1,1,19806,7,703301727.0,33,11,274,0,0,149,C#,Major,37,28,66,14,0,9,5,bound 2 kanye west,12,6
billie eilish.,armani white,1,2022,1,20,2537,0,277132266.0,49,1,67,11,1,100,C#,Major,90,75,50,11,0,9,26,billie eilish. armani white,58,20
static,steve lacy,1,2022,7,15,1613,0,202452860.0,21,15,13,0,0,79,C#,Major,34,22,31,43,63,10,7,static steve lacy,82,3
talk,yeat,1,2022,9,2,920,0,148461629.0,10,1,8,0,0,140,E,Minor,70,26,76,8,0,54,23,talk yeat,42,3
selfish,pnb rock,1,2016,6,23,2468,0,380319238.0,15,0,0,0,0,102,C#,Minor,64,4,60,11,0,19,4,selfish pnb rock,51,54
poland,lil yachty,1,2022,6,23,1584,0,115331792.0,38,0,24,0,0,150,F,Minor,70,26,56,14,83,11,5,poland lil yachty,40,3
2 be loved (am i ready),lizzo,1,2022,7,14,3682,6,247689123.0,41,0,158,2,68,156,G,Major,72,92,77,9,0,8,11,2 be loved (am i ready) lizzo,55,19
california breeze,lil baby,1,2022,10,14,991,0,85559365.0,36,38,13,0,3,162,F,Minor,74,22,67,0,0,11,46,california breeze lil baby,4,19
vigilante shit,taylor swift,1,2022,10,21,1948,0,253650850.0,12,9,16,0,0,80,E,Minor,80,16,28,17,0,12,39,vigilante shit taylor swift,10,6
question...?,taylor swift,1,2022,10,21,1608,0,223064273.0,10,3,12,0,0,109,G,Major,75,11,50,20,0,30,17,question...? taylor swift,7,6
mastermind,taylor swift,1,2022,10,21,1936,0,218320587.0,7,5,13,0,0,126,E,Major,66,12,35,55,0,9,14,mastermind taylor swift,13,6
labyrinth,taylor swift,1,2022,10,21,1597,0,187339835.0,6,3,15,0,0,110,,Major,48,15,31,80,22,12,4,labyrinth taylor swift,14,6
sweet nothing,taylor swift,1,2022,10,21,1747,0,186104310.0,9,6,13,0,2,177,,Major,34,39,16,97,0,12,5,sweet nothing taylor swift,15,6
"would've, could've, should've",taylor swift,1,2022,10,21,1715,0,177503916.0,4,5,8,0,0,158,G,Major,48,55,84,43,0,15,12,"would've, could've, should've taylor swift",20,1
backoutsideboyz,drake,1,2022,11,4,1045,0,93367537.0,8,5,2,0,0,142,F,Minor,85,40,43,4,0,39,32,backoutsideboyz drake,9,3
the great war,taylor swift,1,2022,10,21,1274,0,181382590.0,1,6,11,0,0,96,F,Major,57,55,74,22,0,8,4,the great war taylor swift,26,1
bigger than the whole sky,taylor swift,1,2022,10,21,1180,0,121871870.0,4,0,8,0,0,166,F#,Major,42,7,24,83,1,12,6,bigger than the whole sky taylor swift,21,1
