date,track_name,artist_name,peak_position,weeks_on_chart,current_position
2000-01-01,Smooth,Santana Featuring Rob Thomas,1,23,1
2000-01-01,Back At One,Brian McKnight,2,19,2
2000-01-01,I Wanna Love You Forever,Jessica Simpson,3,12,3
2000-01-01,My Love Is Your Love,Whitney Houston,4,18,4
2000-01-01,I Knew I Loved You,Savage Garden,4,11,5
2000-01-01,I Need To Know,Marc Anthony,3,17,6
2000-01-01,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",7,6,7
2000-01-01,U Know What's Up,Donell Jones,7,15,8
2000-01-01,Bring It All To Me,Blaque,9,11,9
2000-01-01,Girl On TV,LFO,10,7,10
2000-01-01,What A Girl Wants,Christina Aguilera,11,6,11
2000-01-01,24/7,Kevon Edmonds,10,9,12
2000-01-01,Blue (Da Ba Dee),Eiffel 65,13,4,13
2000-01-01,Then The Morning Comes,Smash Mouth,14,10,14
2000-01-01,He Can't Love U,Jagged Edge,15,4,15
2000-01-01,Waiting For Tonight,Jennifer Lopez,8,12,16
2000-01-01,That's The Way It Is,Celine Dion,17,8,17
2000-01-01,The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,18,3,18
2000-01-01,Dancin',Guy,19,3,19
2000-01-01,Steal My Sunshine,Len,9,21,20
2000-01-01,Get It On Tonite,Montell Jordan,21,11,21
2000-01-01,Learn To Fly,Foo Fighters,22,12,22
2000-01-01,Big Deal,LeAnn Rimes,23,12,23
2000-01-01,Meet Virginia,Train,21,13,24
2000-01-01,Unpretty,TLC,1,28,25
2000-01-01,Breathe,Faith Hill,26,9,26
2000-01-01,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,19,26,27
2000-01-01,"4, 5, 6",Sole Featuring JT Money & Kandi,21,10,28
2000-01-01,Stay The Night,IMx,29,13,29
2000-01-01,Don't Say You Love Me,M2M,30,7,30
2000-01-01,Where My Girls At?,702,4,36,31
2000-01-01,Mambo No. 5 (A Little Bit Of...),Lou Bega,3,19,32
2000-01-01,Hanginaround,Counting Crows,33,9,33
2000-01-01,Take A Picture,Filter,34,6,34
2000-01-01,Get Gone,Ideal,13,20,35
2000-01-01,Someday,Sugar Ray,7,27,36
2000-01-01,He Didn't Have To Be,Brad Paisley,30,11,37
2000-01-01,Got Your Money,Ol' Dirty Bastard Featuring Kelis,33,11,38
2000-01-01,Shake Your Bon-Bon,Ricky Martin,39,7,39
2000-01-01,If You Love Me,Mint Condition,30,9,40
2000-01-01,Black Balloon,Goo Goo Dolls,16,26,41
2000-01-01,Rhythm Divine,Enrique Iglesias,42,5,42
2000-01-01,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,43,4,43
2000-01-01,Satisfy You,Puff Daddy Featuring R. Kelly,2,15,44
2000-01-01,Amazed,Lonestar,24,22,45
2000-01-01,What Do You Say,Reba,46,10,46
2000-01-01,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,42,5,47
2000-01-01,Cowboy Take Me Away,Dixie Chicks,48,6,48
2000-01-01,When I Said I Do,Clint Black,31,12,49
2000-01-01,My Best Friend,Tim McGraw,50,6,50
2000-01-01,Got To Get It,Sisqo Featuring Make It Hot,48,7,51
2000-01-01,All The Small Things,blink-182,52,5,52
2000-01-01,This Gift,98 Degrees,53,1,53
2000-01-01,Auld Lang Syne,Kenny G,54,2,54
2000-01-01,Angels,Robbie Williams,55,7,55
2000-01-01,Say My Name,Destiny's Child,56,2,56
2000-01-01,Pop A Top,Alan Jackson,55,8,57
2000-01-01,Caught Out There,Kelis,58,5,58
2000-01-01,15 Minutes,Marc Nelson,27,14,59
2000-01-01,Heartbreaker,Mariah Carey Featuring Jay-Z,1,18,60
2000-01-01,Higher,Creed,52,17,61
2000-01-01,Bling Bling,"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",36,16,62
2000-01-01,Will 2K,Will Smith Featuring K-Ci,25,10,63
2000-01-01,Deep Inside,Mary J. Blige,64,8,64
2000-01-01,All Things Considered,Yankee Grey,55,16,65
2000-01-01,I Love You,Martina McBride,24,19,66
2000-01-01,Sexual (Li Da Di),Amber,67,21,67
2000-01-01,None Of Ur Friends Business,Ginuwine,68,4,68
2000-01-01,Deck The Halls,SHeDAISY,69,2,69
2000-01-01,Left & Right,D'Angelo Featuring Method Man And Redman,70,4,70
2000-01-01,Smile,Lonestar,71,3,71
2000-01-01,The Great Beyond,R.E.M.,72,2,72
2000-01-01,Bug A Boo,Destiny's Child,33,15,73
2000-01-01,Show Me The Meaning Of Being Lonely,Backstreet Boys,74,1,74
2000-01-01,We Can't Be Friends,Deborah Cox With R.L.,8,17,75
2000-01-01,(You Drive Me) Crazy,Britney Spears,10,16,76
2000-01-01,One Night Stand,J-Shin Featuring LaTocha Scott,77,2,77
2000-01-01,N 2 Gether Now,Limp Bizkit Featuring Method Man,78,5,78
2000-01-01,No More Rain (In This Cloud),Angie Stone,79,2,79
2000-01-01,Home To You,John Michael Montgomery,45,14,80
2000-01-01,The Chemicals Between Us,Bush,67,14,81
2000-01-01,Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.,82,5,82
2000-01-01,Guerrilla Radio,Rage Against The Machine,69,10,83
2000-01-01,"Live, Laugh, Love",Clay Walker,84,5,84
2000-01-01,Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,82,4,85
2000-01-01,She Thinks My Tractor's Sexy,Kenny Chesney,74,7,86
2000-01-01,Larger Than Life,Backstreet Boys,25,16,87
2000-01-01,There She Goes,Sixpence None The Richer,32,17,88
2000-01-01,The Greatest Romance Ever Sold,Prince,63,11,89
2000-01-01,The Rockafeller Skank,Fatboy Slim,77,24,90
2000-01-01,Give You What You Want (Fa Sure),Chico DeBarge,71,11,91
2000-01-01,Music Of My Heart,*NSYNC & Gloria Estefan,2,18,92
2000-01-01,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,93,1,93
2000-01-01,I Wanna Know,Joe,94,1,94
2000-01-01,Re-arranged,Limp Bizkit,90,5,95
2000-01-01,L.A. Song,Beth Hart,96,6,96
2000-01-01,Gotta Man,Eve,26,16,97
2000-01-01,The Quittin' Kind,Joe Diffie,98,1,98
2000-01-01,Steam,Ty Herndon,83,12,99
2000-01-01,NAStradamus,Nas,92,6,100
2000-02-01,I Knew I Loved You,Savage Garden,1,16,1
2000-02-01,What A Girl Wants,Christina Aguilera,1,11,2
2000-02-01,Smooth,Santana Featuring Rob Thomas,1,28,3
2000-02-01,Back At One,Brian McKnight,2,24,4
2000-02-01,Get It On Tonite,Montell Jordan,5,16,5
2000-02-01,Bring It All To Me,Blaque,5,16,6
2000-02-01,Blue (Da Ba Dee),Eiffel 65,6,9,7
2000-02-01,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",5,11,8
2000-02-01,That's The Way It Is,Celine Dion,8,13,9
2000-02-01,I Need To Know,Marc Anthony,3,22,10
2000-02-01,My Love Is Your Love,Whitney Houston,4,23,11
2000-02-01,Take A Picture,Filter,12,11,12
2000-02-01,Then The Morning Comes,Smash Mouth,11,15,13
2000-02-01,Show Me The Meaning Of Being Lonely,Backstreet Boys,14,6,14
2000-02-01,All The Small Things,blink-182,15,10,15
2000-02-01,Say My Name,Destiny's Child,13,7,16
2000-02-01,Amazed,Lonestar,14,27,17
2000-02-01,He Can't Love U,Jagged Edge,15,9,18
2000-02-01,I Wanna Love You Forever,Jessica Simpson,3,17,19
2000-02-01,Bye Bye Bye,*NSYNC,20,2,20
2000-02-01,Breathe,Faith Hill,21,14,21
2000-02-01,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,22,9,22
2000-02-01,U Know What's Up,Donell Jones,7,20,23
2000-02-01,Meet Virginia,Train,20,18,24
2000-02-01,Never Let You Go,Third Eye Blind,25,3,25
2000-02-01,Learn To Fly,Foo Fighters,19,17,26
2000-02-01,Cowboy Take Me Away,Dixie Chicks,27,11,27
2000-02-01,Shake Your Bon-Bon,Ricky Martin,28,12,28
2000-02-01,My Best Friend,Tim McGraw,29,11,29
2000-02-01,It Feels So Good,Sonique,30,3,30
2000-02-01,Big Deal,LeAnn Rimes,23,17,31
2000-02-01,Hanginaround,Counting Crows,28,14,32
2000-02-01,I Wanna Know,Joe,33,6,33
2000-02-01,What Do You Say,Reba,31,15,34
2000-02-01,Untitled (How Does It Feel),D'Angelo,35,3,35
2000-02-01,Waiting For Tonight,Jennifer Lopez,8,17,36
2000-02-01,Black Balloon,Goo Goo Dolls,16,31,37
2000-02-01,Rhythm Divine,Enrique Iglesias,32,10,38
2000-02-01,Girl On TV,LFO,10,12,39
2000-02-01,Falls Apart,Sugar Ray,40,4,40
2000-02-01,Where My Girls At?,702,4,41,41
2000-02-01,Smile,Lonestar,42,8,42
2000-02-01,Back At One,Mark Wills,43,4,43
2000-02-01,Sexual (Li Da Di),Amber,44,26,44
2000-02-01,24/7,Kevon Edmonds,10,14,45
2000-02-01,Love Is Blind,Eve Featuring Faith Evans,46,5,46
2000-02-01,Forgot About Dre,Dr. Dre Featuring Eminem,47,3,47
2000-02-01,None Of Ur Friends Business,Ginuwine,48,9,48
2000-02-01,One Night Stand,J-Shin Featuring LaTocha Scott,49,7,49
2000-02-01,Someday,Sugar Ray,7,32,50
2000-02-01,Got To Get It,Sisqo Featuring Make It Hot,40,12,51
2000-02-01,He Didn't Have To Be,Brad Paisley,30,16,52
2000-02-01,Everything You Want,Vertical Horizon,53,3,53
2000-02-01,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,35,10,54
2000-02-01,Pop A Top,Alan Jackson,43,13,55
2000-02-01,No More Rain (In This Cloud),Angie Stone,56,7,56
2000-02-01,G'd Up,Snoop Dogg Presents Tha Eastsidaz,57,5,57
2000-02-01,Dancin',Guy,19,8,58
2000-02-01,From The Bottom Of My Broken Heart,Britney Spears,59,2,59
2000-02-01,Got Your Money,Ol' Dirty Bastard Featuring Kelis,33,16,60
2000-02-01,The Great Beyond,R.E.M.,57,7,61
2000-02-01,I Don't Wanna,Aaliyah,62,2,62
2000-02-01,Thong Song,Sisqo,63,2,63
2000-02-01,The Best Day,George Strait,64,2,64
2000-02-01,Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,65,4,65
2000-02-01,If You Love Me,Mint Condition,30,14,66
2000-02-01,Caught Out There,Kelis,54,10,67
2000-02-01,I Like It,Sammie,68,2,68
2000-02-01,What's My Name,DMX,69,4,69
2000-02-01,When I Said I Do,Clint Black,31,17,70
2000-02-01,Stay The Night,IMx,23,18,71
2000-02-01,How Do You Like Me Now?!,Toby Keith,72,2,72
2000-02-01,Lessons Learned,Tracy Lawrence,73,2,73
2000-02-01,"Tricky, Tricky",Lou Bega,74,2,74
2000-02-01,Deep Inside,Mary J. Blige,63,13,75
2000-02-01,Smoke Rings In The Dark,Gary Allan,76,3,76
2000-02-01,Put Your Hand In Mine,Tracy Byrd,77,2,77
2000-02-01,Because You Love Me,Jo Dee Messina,78,2,78
2000-02-01,Love's The Only House,Martina McBride,79,1,79
2000-02-01,Satisfy You,Puff Daddy Featuring R. Kelly,2,20,80
2000-02-01,Breathe And Stop,Q-Tip,71,3,81
2000-02-01,This Woman Needs,SHeDAISY,82,1,82
2000-02-01,Angels,Robbie Williams,53,12,83
2000-02-01,The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",83,5,84
2000-02-01,U Understand,Juvenile,85,1,85
2000-02-01,Home To You,John Michael Montgomery,45,19,86
2000-02-01,Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.,72,10,87
2000-02-01,Re-arranged,Limp Bizkit,88,10,88
2000-02-01,The Chemicals Between Us,Bush,67,19,89
2000-02-01,Guerrilla Radio,Rage Against The Machine,69,15,90
2000-02-01,L.A. Song,Beth Hart,90,11,91
2000-02-01,"Live, Laugh, Love",Clay Walker,74,10,92
2000-02-01,Candy,Mandy Moore,41,15,93
2000-02-01,The Quittin' Kind,Joe Diffie,90,6,94
2000-02-01,"4, 5, 6",Sole Featuring JT Money & Kandi,21,15,95
2000-02-01,Bug A Boo,Destiny's Child,33,20,96
2000-02-01,N 2 Gether Now,Limp Bizkit Featuring Method Man,73,10,97
2000-02-01,Don't Say You Love Me,M2M,21,12,98
2000-02-01,Still D.R.E.,Dr. Dre Featuring Snoop Dogg,93,5,99
2000-02-01,She Thinks My Tractor's Sexy,Kenny Chesney,74,12,100
2000-03-01,Amazed,Lonestar,1,31,1
2000-03-01,I Knew I Loved You,Savage Garden,1,20,2
2000-03-01,Breathe,Faith Hill,3,18,3
2000-03-01,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,1,13,4
2000-03-01,Maria Maria,Santana Featuring The Product G&B,5,4,5
2000-03-01,That's The Way It Is,Celine Dion,6,17,6
2000-03-01,Bye Bye Bye,*NSYNC,7,6,7
2000-03-01,All The Small Things,blink-182,6,14,8
2000-03-01,Show Me The Meaning Of Being Lonely,Backstreet Boys,9,10,9
2000-03-01,Get It On Tonite,Montell Jordan,4,20,10
2000-03-01,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",5,15,11
2000-03-01,What A Girl Wants,Christina Aguilera,1,15,12
2000-03-01,Smooth,Santana Featuring Rob Thomas,1,32,13
2000-03-01,From The Bottom Of My Broken Heart,Britney Spears,14,6,14
2000-03-01,Bring It All To Me,Blaque,5,20,15
2000-03-01,It Feels So Good,Sonique,16,7,16
2000-03-01,Say My Name,Destiny's Child,13,11,17
2000-03-01,Back At One,Brian McKnight,2,28,18
2000-03-01,Take A Picture,Filter,12,15,19
2000-03-01,I Need To Know,Marc Anthony,3,26,20
2000-03-01,Blue (Da Ba Dee),Eiffel 65,6,13,21
2000-03-01,Never Let You Go,Third Eye Blind,22,7,22
2000-03-01,Thong Song,Sisqo,23,6,23
2000-03-01,Then The Morning Comes,Smash Mouth,11,19,24
2000-03-01,There You Go,P!nk,25,1,25
2000-03-01,He Can't Love U,Jagged Edge,15,13,26
2000-03-01,I Wanna Know,Joe,27,10,27
2000-03-01,Untitled (How Does It Feel),D'Angelo,25,7,28
2000-03-01,American Pie,Madonna,29,3,29
2000-03-01,Forgot About Dre,Dr. Dre Featuring Eminem,30,7,30
2000-03-01,Everything You Want,Vertical Horizon,31,7,31
2000-03-01,Falls Apart,Sugar Ray,29,8,32
2000-03-01,I Like It,Sammie,33,6,33
2000-03-01,My Love Is Your Love,Whitney Houston,4,27,34
2000-03-01,I Don't Wanna,Aaliyah,35,6,35
2000-03-01,My Best Friend,Tim McGraw,29,15,36
2000-03-01,Meet Virginia,Train,20,22,37
2000-03-01,One Night Stand,J-Shin Featuring LaTocha Scott,34,11,38
2000-03-01,Back At One,Mark Wills,36,8,39
2000-03-01,Cowboy Take Me Away,Dixie Chicks,27,15,40
2000-03-01,Smile,Lonestar,39,12,41
2000-03-01,Love Is Blind,Eve Featuring Faith Evans,34,9,42
2000-03-01,How Do You Like Me Now?!,Toby Keith,43,6,43
2000-03-01,The Best Day,George Strait,44,6,44
2000-03-01,U Know What's Up,Donell Jones,7,24,45
2000-03-01,Only God Knows Why,Kid Rock,46,3,46
2000-03-01,I Try,Macy Gray,47,3,47
2000-03-01,Lessons Learned,Tracy Lawrence,48,6,48
2000-03-01,Another Dumb Blonde,Hoku,49,3,49
2000-03-01,Learn To Fly,Foo Fighters,19,21,50
2000-03-01,Dear Lie,TLC,51,4,51
2000-03-01,Otherside,Red Hot Chili Peppers,52,4,52
2000-03-01,Love's The Only House,Martina McBride,53,5,53
2000-03-01,You Sang To Me,Marc Anthony,54,2,54
2000-03-01,Because You Love Me,Jo Dee Messina,55,6,55
2000-03-01,Got Your Money,Ol' Dirty Bastard Featuring Kelis,33,20,56
2000-03-01,This Woman Needs,SHeDAISY,57,5,57
2000-03-01,Anything,JAY-Z,58,2,58
2000-03-01,Hanginaround,Counting Crows,28,18,59
2000-03-01,The Great Beyond,R.E.M.,57,11,60
2000-03-01,Rhythm Divine,Enrique Iglesias,32,14,61
2000-03-01,Been There,Clint Black With Steve Wariner,62,3,62
2000-03-01,No More Rain (In This Cloud),Angie Stone,56,11,63
2000-03-01,Got To Get It,Sisqo Featuring Make It Hot,40,16,64
2000-03-01,G'd Up,Snoop Dogg Presents Tha Eastsidaz,47,9,65
2000-03-01,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,66,3,66
2000-03-01,He Didn't Have To Be,Brad Paisley,30,20,67
2000-03-01,What Do You Say,Reba,31,19,68
2000-03-01,24/7,Kevon Edmonds,10,18,69
2000-03-01,Shake Your Bon-Bon,Ricky Martin,22,16,70
2000-03-01,I Need A Hot Girl,Hot Boys,71,3,71
2000-03-01,Do What You Gotta Do,Garth Brooks,72,3,72
2000-03-01,That's What I'm Looking For,Da Brat,73,2,73
2000-03-01,Party Up (Up In Here),DMX,74,2,74
2000-03-01,Carlene,Phil Vassar,75,1,75
2000-03-01,No Leaf Clover,Metallica,76,4,76
2000-03-01,The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",77,9,77
2000-03-01,Whoa!,Black Rob,78,1,78
2000-03-01,Best Friend,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,59,4,79
2000-03-01,"Left, Right, Left",Drama,80,4,80
2000-03-01,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla,81,1,81
2000-03-01,Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz,82,2,82
2000-03-01,I Learned From The Best,Whitney Houston,83,3,83
2000-03-01,If You Love Me,Mint Condition,30,18,84
2000-03-01,None Of Ur Friends Business,Ginuwine,48,13,85
2000-03-01,It Was,Chely Wright,86,1,86
2000-03-01,Daddy Won't Sell The Farm,Montgomery Gentry,87,1,87
2000-03-01,Put Your Hand In Mine,Tracy Byrd,76,6,88
2000-03-01,Candy,Mandy Moore,41,19,89
2000-03-01,What's My Name,DMX,67,8,90
2000-03-01,Re-arranged,Limp Bizkit,88,14,91
2000-03-01,Stay Or Let It Go,Brian McKnight,92,2,92
2000-03-01,Angels,Robbie Williams,53,16,93
2000-03-01,Girl On TV,LFO,10,16,94
2000-03-01,Still In My Heart,Tracie Spencer,95,1,95
2000-03-01,Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,65,8,96
2000-03-01,U Understand,Juvenile,83,5,97
2000-03-01,Guerrilla Radio,Rage Against The Machine,69,19,98
2000-03-01,Freakin' It,Will Smith,99,4,99
2000-03-01,Get Up,Amel Larrieux,100,1,100
2000-04-01,Say My Name,Destiny's Child,1,15,1
2000-04-01,Maria Maria,Santana Featuring The Product G&B,2,8,2
2000-04-01,Breathe,Faith Hill,3,22,3
2000-04-01,Amazed,Lonestar,1,35,4
2000-04-01,Bye Bye Bye,*NSYNC,5,10,5
2000-04-01,Show Me The Meaning Of Being Lonely,Backstreet Boys,6,14,6
2000-04-01,Get It On Tonite,Montell Jordan,4,24,7
2000-04-01,Smooth,Santana Featuring Rob Thomas,1,36,8
2000-04-01,That's The Way It Is,Celine Dion,6,21,9
2000-04-01,Thong Song,Sisqo,10,10,10
2000-04-01,There You Go,P!nk,11,5,11
2000-04-01,I Knew I Loved You,Savage Garden,1,24,12
2000-04-01,It Feels So Good,Sonique,12,11,13
2000-04-01,Never Let You Go,Third Eye Blind,14,11,14
2000-04-01,I Try,Macy Gray,15,7,15
2000-04-01,All The Small Things,blink-182,6,18,16
2000-04-01,Everything You Want,Vertical Horizon,17,11,17
2000-04-01,What A Girl Wants,Christina Aguilera,1,19,18
2000-04-01,Bring It All To Me,Blaque,5,24,19
2000-04-01,I Wanna Know,Joe,20,14,20
2000-04-01,Back At One,Brian McKnight,2,32,21
2000-04-01,I Need To Know,Marc Anthony,3,30,22
2000-04-01,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",5,19,23
2000-04-01,Goodbye Earl,Dixie Chicks,24,3,24
2000-04-01,Forgot About Dre,Dr. Dre Featuring Eminem,25,11,25
2000-04-01,Only God Knows Why,Kid Rock,26,7,26
2000-04-01,You Sang To Me,Marc Anthony,27,6,27
2000-04-01,I Learned From The Best,Whitney Houston,27,7,28
2000-04-01,I Like It,Sammie,29,10,29
2000-04-01,Another Dumb Blonde,Hoku,30,7,30
2000-04-01,Take A Picture,Filter,12,19,31
2000-04-01,How Do You Like Me Now?!,Toby Keith,32,10,32
2000-04-01,Then The Morning Comes,Smash Mouth,11,23,33
2000-04-01,The Best Day,George Strait,34,10,34
2000-04-01,From The Bottom Of My Broken Heart,Britney Spears,14,10,35
2000-04-01,I Don't Wanna,Aaliyah,35,10,36
2000-04-01,Otherside,Red Hot Chili Peppers,37,8,37
2000-04-01,Try Again,Aaliyah,38,3,38
2000-04-01,Untitled (How Does It Feel),D'Angelo,25,11,39
2000-04-01,American Pie,Madonna,29,7,40
2000-04-01,Higher,Creed,41,22,41
2000-04-01,Lessons Learned,Tracy Lawrence,42,10,42
2000-04-01,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,1,17,43
2000-04-01,Party Up (Up In Here),DMX,44,6,44
2000-04-01,Love's The Only House,Martina McBride,45,9,45
2000-04-01,My Best Friend,Tim McGraw,29,19,46
2000-04-01,Whoa!,Black Rob,47,5,47
2000-04-01,He Wasn't Man Enough,Toni Braxton,48,3,48
2000-04-01,Falls Apart,Sugar Ray,29,12,49
2000-04-01,Meet Virginia,Train,20,26,50
2000-04-01,Been There,Clint Black With Steve Wariner,51,7,51
2000-04-01,Back At One,Mark Wills,36,12,52
2000-04-01,He Can't Love U,Jagged Edge,15,17,53
2000-04-01,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,54,7,54
2000-04-01,The Bad Touch,Bloodhound Gang,55,3,55
2000-04-01,Blue (Da Ba Dee),Eiffel 65,6,17,56
2000-04-01,Carlene,Phil Vassar,57,5,57
2000-04-01,Smile,Lonestar,39,16,58
2000-04-01,Cowboy Take Me Away,Dixie Chicks,27,19,59
2000-04-01,That's What I'm Looking For,Da Brat,60,6,60
2000-04-01,Because You Love Me,Jo Dee Messina,53,10,61
2000-04-01,The Way You Love Me,Faith Hill,62,4,62
2000-04-01,Be With You,Enrique Iglesias,63,1,63
2000-04-01,I Wish,Carl Thomas,64,2,64
2000-04-01,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,65,4,65
2000-04-01,Love Is Blind,Eve Featuring Faith Evans,34,13,66
2000-04-01,She's More,Andy Griggs,67,4,67
2000-04-01,One Night Stand,J-Shin Featuring LaTocha Scott,34,15,68
2000-04-01,I Need A Hot Girl,Hot Boys,65,7,69
2000-04-01,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla,62,5,70
2000-04-01,It Was,Chely Wright,71,5,71
2000-04-01,You Owe Me,NAS Featuring Ginuwine,72,2,72
2000-04-01,Where You Are,Jessica Simpson Featuring Nick Lachey,73,1,73
2000-04-01,Anything,JAY-Z,55,6,74
2000-04-01,Couldn't Last A Moment,Collin Raye,75,3,75
2000-04-01,Shackles (Praise You),Mary Mary,76,2,76
2000-04-01,I Belong To You,Lenny Kravitz,77,2,77
2000-04-01,Private Emotion,Ricky Martin Featuring Meja,67,4,78
2000-04-01,What I Need To Do,Kenny Chesney,79,1,79
2000-04-01,"Ryde Or Die, Chick",The Lox Featuring Timbaland And EVE,73,3,80
2000-04-01,Daddy Won't Sell The Farm,Montgomery Gentry,79,5,81
2000-04-01,This Woman Needs,SHeDAISY,57,9,82
2000-04-01,Mr. Too Damn Good,Gerald Levert,83,3,83
2000-04-01,Can't Stay,Dave Hollister,84,2,84
2000-04-01,Real Live Woman,Trisha Yearwood,85,1,85
2000-04-01,"Left, Right, Left",Drama,73,8,86
2000-04-01,Mirror Mirror,M2M,87,1,87
2000-04-01,Stay Or Let It Go,Brian McKnight,76,6,88
2000-04-01,No More Rain (In This Cloud),Angie Stone,56,15,89
2000-04-01,G'd Up,Snoop Dogg Presents Tha Eastsidaz,47,13,90
2000-04-01,Whistle While You Twurk,Ying Yang Twins,91,3,91
2000-04-01,I'm Outta Love,Anastacia,92,1,92
2000-04-01,No Leaf Clover,Metallica,74,8,93
2000-04-01,Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz,72,6,94
2000-04-01,Got To Get It,Sisqo Featuring Make It Hot,40,20,95
2000-04-01,Swear It Again,Westlife,96,1,96
2000-04-01,Unconditional,Clay Davidson,97,2,97
2000-04-01,If You Don't Wanna Love Me,Tamar Braxton,98,2,98
2000-04-01,No Mercy,Ty Herndon,99,3,99
2000-04-01,Re-arranged,Limp Bizkit,88,18,100
2000-05-01,Maria Maria,Santana Featuring The Product G&B,1,13,1
2000-05-01,He Wasn't Man Enough,Toni Braxton,2,8,2
2000-05-01,Breathe,Faith Hill,2,27,3
2000-05-01,Thong Song,Sisqo,4,15,4
2000-05-01,Say My Name,Destiny's Child,1,20,5
2000-05-01,Bye Bye Bye,*NSYNC,4,15,6
2000-05-01,I Try,Macy Gray,7,12,7
2000-05-01,Everything You Want,Vertical Horizon,8,16,8
2000-05-01,Amazed,Lonestar,1,40,9
2000-05-01,It Feels So Good,Sonique,8,16,10
2000-05-01,I Wanna Know,Joe,11,19,11
2000-05-01,Be With You,Enrique Iglesias,12,6,12
2000-05-01,You Sang To Me,Marc Anthony,13,11,13
2000-05-01,Try Again,Aaliyah,14,8,14
2000-05-01,There You Go,P!nk,7,10,15
2000-05-01,Smooth,Santana Featuring Rob Thomas,1,41,16
2000-05-01,Wobble Wobble,504 Boyz,17,4,17
2000-05-01,Get It On Tonite,Montell Jordan,4,29,18
2000-05-01,Goodbye Earl,Dixie Chicks,19,8,19
2000-05-01,This Time Around,Hanson,20,3,20
2000-05-01,Never Let You Go,Third Eye Blind,14,16,21
2000-05-01,Higher,Creed,22,27,22
2000-05-01,Show Me The Meaning Of Being Lonely,Backstreet Boys,6,19,23
2000-05-01,I Wish,Carl Thomas,24,7,24
2000-05-01,Only God Knows Why,Kid Rock,19,12,25
2000-05-01,Oops!...I Did It Again,Britney Spears,26,3,26
2000-05-01,Party Up (Up In Here),DMX,27,11,27
2000-05-01,I Turn To You,Christina Aguilera,28,4,28
2000-05-01,Otherside,Red Hot Chili Peppers,29,13,29
2000-05-01,I Knew I Loved You,Savage Garden,1,29,30
2000-05-01,That's The Way It Is,Celine Dion,6,26,31
2000-05-01,Separated,Avant,32,2,32
2000-05-01,Crash And Burn,Savage Garden,33,5,33
2000-05-01,Shackles (Praise You),Mary Mary,34,7,34
2000-05-01,I Need To Know,Marc Anthony,3,35,35
2000-05-01,The Best Day,George Strait,31,15,36
2000-05-01,Bent,matchbox twenty,37,2,37
2000-05-01,How Do You Like Me Now?!,Toby Keith,31,15,38
2000-05-01,Big Pimpin',Jay-Z Featuring UGK,39,3,39
2000-05-01,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,40,9,40
2000-05-01,The Way You Love Me,Faith Hill,41,9,41
2000-05-01,Bring It All To Me,Blaque,5,29,42
2000-05-01,All The Small Things,blink-182,6,23,43
2000-05-01,What A Girl Wants,Christina Aguilera,1,24,44
2000-05-01,Better Off Alone,Alice Deejay,45,5,45
2000-05-01,Swear It Again,Westlife,46,6,46
2000-05-01,Forgot About Dre,Dr. Dre Featuring Eminem,25,16,47
2000-05-01,Back At One,Brian McKnight,2,37,48
2000-05-01,Someday Out Of The Blue,Elton John,49,3,49
2000-05-01,Carlene,Phil Vassar,45,10,50
2000-05-01,She's More,Andy Griggs,51,9,51
2000-05-01,I Like It,Sammie,24,15,52
2000-05-01,Broadway,Goo Goo Dolls,53,3,53
2000-05-01,Graduation (Friends Forever),Vitamin C,54,4,54
