track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined,date,peak_position,weeks_on_chart,current_position
fukumean,gunna,1,2023,5,15,1096,83,95217315.0,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9,fukumean gunna,2024-02-01,4,30,32
super shy,newjeans,1,2023,7,7,422,55,58255150.0,37,202,21,5,168,150,F,Minor,78,52,82,18,0,15,7,super shy newjeans,2023-08-01,48,3,48
super shy,newjeans,1,2023,7,7,422,55,58255150.0,37,202,21,5,168,150,F,Minor,78,52,82,18,0,15,7,super shy newjeans,2023-09-01,48,7,80
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus,2023-02-01,1,2,1
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus,2023-03-01,1,6,1
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus,2023-04-01,1,10,1
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus,2023-05-01,1,15,3
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus,2023-06-01,1,19,2
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus,2023-07-01,1,23,4
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus,2023-08-01,1,28,11
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus,2023-09-01,1,32,13
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus,2023-10-01,1,37,15
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus,2023-11-01,1,41,16
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus,2023-12-01,1,45,47
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus,2024-02-01,1,49,27
flowers,miley cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,flowers miley cyrus,2024-03-01,1,53,20
daylight,david kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,daylight david kushner,2023-05-01,47,2,47
daylight,david kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,daylight david kushner,2023-06-01,47,6,51
